date,journey_id,offered_calls,contained_calls,transferred_calls,abandoned_calls,repeat_calls_7d,avg_ivr_seconds,avg_agent_handle_seconds,containment_rate,transfer_rate,abandon_rate,no_match_rate,no_input_rate,auth_fail_rate,repeat_call_rate,data_quality_score,tableau_refresh_status
2026-04-01,JRN001,3815,2243,518,588,458,252,510,0.588,0.1359,0.1543,0.0842,0.0324,0.0528,0.1201,81.1,Complete
2026-04-01,JRN002,1155,864,112,95,114,148,506,0.7488,0.0972,0.0824,0.0411,0.0414,0.0278,0.099,84.5,Complete
2026-04-01,JRN003,767,428,90,103,75,188,544,0.5588,0.1183,0.1348,0.0698,0.0657,0.0018,0.0986,80.6,Complete
2026-04-01,JRN004,3689,1784,556,545,477,187,558,0.4838,0.151,0.1479,0.0935,0.0336,0.052,0.1293,79.8,Complete
2026-04-01,JRN005,674,461,58,43,56,165,486,0.6852,0.0866,0.0642,0.0488,0.0481,0.0594,0.084,83.1,Complete
2026-04-01,JRN006,1675,774,367,126,202,150,467,0.4626,0.2195,0.0754,0.0596,0.0455,0.053,0.1211,83.2,Complete
2026-04-01,JRN007,2179,1145,432,325,267,242,493,0.5256,0.1987,0.1494,0.0771,0.0716,0.0742,0.1228,75.9,Late
2026-04-01,JRN008,1905,727,526,219,235,137,521,0.382,0.2765,0.115,0.0633,0.0357,0.0085,0.1234,83.2,Complete
2026-04-01,JRN009,1925,729,468,199,222,165,492,0.3787,0.2436,0.1035,0.0659,0.0331,0.06,0.1156,82.6,Complete
2026-04-01,JRN010,1790,876,521,98,220,137,511,0.4895,0.2913,0.055,0.0694,0.0486,0.0045,0.123,84.1,Complete
2026-04-01,JRN011,2727,1816,381,141,266,170,389,0.666,0.1401,0.0518,0.0517,0.0644,0.07,0.0978,78.7,Complete
2026-04-01,JRN012,1571,671,359,129,178,203,440,0.4273,0.2286,0.0823,0.065,0.0362,0.0624,0.1139,82.5,Complete
2026-04-01,JRN013,2564,1277,292,401,250,199,533,0.4983,0.1141,0.1566,0.0795,0.0329,0.0641,0.0977,79.2,Complete
2026-04-01,JRN014,3078,1059,717,286,352,121,467,0.3441,0.2332,0.0929,0.0494,0.0337,0.0232,0.1146,83.9,Complete
2026-04-01,JRN015,838,417,130,84,89,172,468,0.4979,0.1553,0.1011,0.0705,0.0489,0.0679,0.1068,78.0,Late
2026-04-01,JRN016,1313,932,144,68,135,194,432,0.71,0.1103,0.052,0.0541,0.0445,0.0242,0.103,85.9,Complete
2026-04-01,JRN017,2014,1383,271,211,209,179,431,0.6869,0.1346,0.1049,0.0447,0.0536,0.0152,0.1038,84.9,Complete
2026-04-01,JRN018,1876,848,462,172,231,176,445,0.4523,0.2465,0.0921,0.0634,0.0362,0.0671,0.1236,83.4,Complete
2026-04-01,JRN019,3110,2061,422,483,370,204,491,0.663,0.1359,0.1554,0.0833,0.067,0.0788,0.1192,76.7,Complete
2026-04-01,JRN020,917,417,207,55,95,195,464,0.4554,0.2266,0.0606,0.0503,0.0514,0.0544,0.1046,81.5,Complete
2026-04-01,JRN021,2656,1207,486,245,325,178,511,0.4548,0.1833,0.0923,0.053,0.0355,0.0706,0.1226,81.4,Complete
2026-04-01,JRN022,2296,818,792,186,300,176,514,0.3567,0.3453,0.0813,0.0549,0.0454,0.0275,0.1309,84.0,Complete
2026-04-01,JRN023,991,339,290,85,133,161,516,0.343,0.293,0.0867,0.0678,0.0582,0.0772,0.1351,79.9,Complete
2026-04-01,JRN024,1274,524,234,203,162,228,546,0.4116,0.1844,0.16,0.0825,0.0377,0.0132,0.1275,80.8,Complete
2026-04-01,JRN025,3763,2387,239,506,317,240,516,0.6345,0.0637,0.1346,0.0804,0.0399,0.064,0.0843,79.0,Complete
2026-04-01,JRN026,2879,978,943,218,390,199,439,0.3398,0.3276,0.0759,0.0553,0.0546,0.059,0.1358,81.7,Complete
2026-04-01,JRN027,3671,2422,701,320,448,122,453,0.6598,0.1912,0.0873,0.0556,0.0573,0.0701,0.1222,79.1,Complete
2026-04-01,JRN028,2433,841,757,186,362,165,505,0.3461,0.3115,0.0766,0.0609,0.034,0.0129,0.1489,85.9,Complete
2026-04-01,JRN029,1698,891,308,157,200,170,547,0.5252,0.1815,0.0928,0.0536,0.052,0.0641,0.1182,83.4,Complete
2026-04-01,JRN030,3932,2241,660,498,460,228,552,0.5702,0.168,0.1268,0.0689,0.0379,0.0252,0.117,85.4,Complete
2026-04-01,JRN031,1278,806,112,98,112,152,433,0.6311,0.0878,0.0773,0.0699,0.0652,0.0233,0.0884,79.5,Complete
2026-04-01,JRN032,3520,1671,722,325,370,158,437,0.4747,0.2053,0.0924,0.0469,0.0462,0.0749,0.1053,81.5,Complete
2026-04-01,JRN033,1539,1089,115,152,120,126,413,0.7079,0.0749,0.099,0.0608,0.0337,0.0694,0.0783,82.6,Complete
2026-04-01,JRN034,2907,1161,620,423,371,192,463,0.3996,0.2134,0.1457,0.0726,0.0362,0.0657,0.1277,79.8,Complete
2026-04-01,JRN035,3082,1396,367,283,306,136,439,0.453,0.1192,0.0921,0.0494,0.0588,0.0725,0.0995,81.5,Complete
2026-04-01,JRN036,1421,423,372,200,205,199,509,0.2983,0.2621,0.141,0.0758,0.0387,0.0179,0.145,84.7,Complete
2026-04-01,JRN037,1770,500,468,259,234,258,502,0.283,0.2648,0.1464,0.0894,0.0428,0.0505,0.1325,79.2,Complete
2026-04-01,JRN038,3095,1228,730,370,360,162,527,0.3968,0.2361,0.1198,0.0575,0.0404,0.0136,0.1166,85.8,Complete
2026-04-01,JRN039,993,648,89,107,94,105,519,0.6531,0.0904,0.1082,0.0493,0.0622,0.0728,0.0948,82.3,Complete
2026-04-01,JRN040,3514,1308,1023,551,462,262,510,0.3725,0.2912,0.1569,0.0718,0.0331,0.0516,0.1315,80.9,Complete
2026-04-01,JRN041,3651,2163,450,238,342,171,494,0.5926,0.1235,0.0653,0.07,0.0381,0.0759,0.0937,80.4,Complete
2026-04-01,JRN042,2582,983,546,416,342,200,541,0.3808,0.2116,0.1615,0.0965,0.034,0.0074,0.1328,81.4,Complete
2026-04-02,JRN001,3295,1953,493,499,420,209,559,0.5928,0.1498,0.1515,0.0809,0.0456,0.0518,0.1278,79.9,Complete
2026-04-02,JRN002,1152,781,58,115,94,175,452,0.6783,0.0508,0.0998,0.0457,0.0418,0.0207,0.0823,86.6,Complete
