event_id,date,journey_id,step_name,step_type,callers_entered,callers_completed,drop_off_callers,no_match_callers,no_input_callers,transferred_callers,avg_step_seconds
EVT00001,2026-04-01,JRN001,Greeting and language,Menu,3526,3297,194,33,88,35,28
EVT00002,2026-04-01,JRN001,Caller authentication,Authentication,3297,3041,220,12,22,36,38
EVT00003,2026-04-01,JRN001,Intent capture,Speech recognition,3041,2608,361,210,110,72,76
EVT00004,2026-04-01,JRN001,Eligibility or account lookup,Integration,2608,2246,318,15,20,44,91
EVT00005,2026-04-01,JRN001,Self-service resolution,Automation,2246,1982,237,6,13,27,119
EVT00006,2026-04-01,JRN001,Agent transfer,Routing,1982,1706,237,17,14,39,135
EVT00007,2026-04-01,JRN002,Greeting and language,Menu,1003,972,21,8,49,10,39
EVT00008,2026-04-01,JRN002,Intent capture,Speech recognition,972,853,106,65,35,13,62
EVT00009,2026-04-01,JRN002,Eligibility or account lookup,Integration,853,755,85,8,4,13,86
EVT00010,2026-04-01,JRN002,Self-service resolution,Automation,755,679,63,2,2,13,100
EVT00011,2026-04-01,JRN002,Agent transfer,Routing,679,608,69,4,4,2,116
EVT00012,2026-04-01,JRN003,Greeting and language,Menu,604,549,41,4,18,14,31
EVT00013,2026-04-01,JRN003,Intent capture,Speech recognition,549,480,64,39,15,5,77
EVT00014,2026-04-01,JRN003,Eligibility or account lookup,Integration,480,411,61,2,2,8,95
EVT00015,2026-04-01,JRN003,Self-service resolution,Automation,411,362,47,4,2,2,120
EVT00016,2026-04-01,JRN003,Agent transfer,Routing,362,316,44,3,1,2,119
EVT00017,2026-04-01,JRN004,Greeting and language,Menu,3454,3265,160,31,109,29,24
EVT00018,2026-04-01,JRN004,Caller authentication,Authentication,3265,3017,212,35,24,36,46
EVT00019,2026-04-01,JRN004,Intent capture,Speech recognition,3017,2605,373,186,145,39,68
EVT00020,2026-04-01,JRN004,Eligibility or account lookup,Integration,2605,2282,284,8,10,39,96
EVT00021,2026-04-01,JRN004,Self-service resolution,Automation,2282,2029,234,6,17,19,91
EVT00022,2026-04-01,JRN004,Agent transfer,Routing,2029,1763,242,20,10,24,129
EVT00023,2026-04-01,JRN005,Greeting and language,Menu,599,573,19,4,16,7,56
EVT00024,2026-04-01,JRN005,Caller authentication,Authentication,573,543,19,1,1,11,55
EVT00025,2026-04-01,JRN005,Intent capture,Speech recognition,543,495,45,20,20,3,71
EVT00026,2026-04-01,JRN005,Eligibility or account lookup,Integration,495,455,39,4,2,1,89
EVT00027,2026-04-01,JRN005,Self-service resolution,Automation,455,422,29,5,3,4,107
EVT00028,2026-04-01,JRN005,Agent transfer,Routing,422,381,33,1,2,8,135
EVT00029,2026-04-01,JRN006,Greeting and language,Menu,1376,1322,27,3,53,27,43
EVT00030,2026-04-01,JRN006,Caller authentication,Authentication,1322,1266,48,9,1,8,71
EVT00031,2026-04-01,JRN006,Intent capture,Speech recognition,1266,1115,125,72,62,26,76
EVT00032,2026-04-01,JRN006,Eligibility or account lookup,Integration,1115,991,99,4,6,25,95
EVT00033,2026-04-01,JRN006,Self-service resolution,Automation,991,887,87,4,1,17,95
EVT00034,2026-04-01,JRN006,Agent transfer,Routing,887,781,87,5,2,19,135
EVT00035,2026-04-01,JRN007,Greeting and language,Menu,1779,1661,84,19,82,34,38
EVT00036,2026-04-01,JRN007,Caller authentication,Authentication,1661,1540,92,16,4,29,37
EVT00037,2026-04-01,JRN007,Intent capture,Speech recognition,1540,1335,188,52,57,17,78
EVT00038,2026-04-01,JRN007,Eligibility or account lookup,Integration,1335,1169,160,5,2,6,97
EVT00039,2026-04-01,JRN007,Self-service resolution,Automation,1169,1045,112,7,3,12,99
EVT00040,2026-04-01,JRN007,Agent transfer,Routing,1045,918,116,9,8,11,143
EVT00041,2026-04-01,JRN008,Greeting and language,Menu,1754,1689,58,13,71,7,33
EVT00042,2026-04-01,JRN008,Intent capture,Speech recognition,1689,1501,167,80,41,21,70
EVT00043,2026-04-01,JRN008,Eligibility or account lookup,Integration,1501,1350,135,9,6,16,88
EVT00044,2026-04-01,JRN008,Self-service resolution,Automation,1350,1237,92,4,3,21,127
EVT00045,2026-04-01,JRN008,Agent transfer,Routing,1237,1124,109,9,3,4,127
EVT00046,2026-04-01,JRN009,Greeting and language,Menu,2031,1958,40,18,57,33,28
EVT00047,2026-04-01,JRN009,Caller authentication,Authentication,1958,1868,79,8,4,11,51
EVT00048,2026-04-01,JRN009,Intent capture,Speech recognition,1868,1669,177,126,53,22,73
EVT00049,2026-04-01,JRN009,Eligibility or account lookup,Integration,1669,1464,172,13,9,33,93
EVT00050,2026-04-01,JRN009,Self-service resolution,Automation,1464,1324,127,15,10,13,101
EVT00051,2026-04-01,JRN009,Agent transfer,Routing,1324,1200,103,2,11,21,130
EVT00052,2026-04-01,JRN010,Greeting and language,Menu,1934,1856,40,19,73,38,40
EVT00053,2026-04-01,JRN010,Intent capture,Speech recognition,1856,1646,183,88,53,27,77
EVT00054,2026-04-01,JRN010,Eligibility or account lookup,Integration,1646,1470,142,6,5,34,103
EVT00055,2026-04-01,JRN010,Self-service resolution,Automation,1470,1350,111,16,6,9,94
